3:100 -> K: 24 | acc: 46.400000000000006
3:101 -> K: 24 | acc: 52.0
3:102 -> K: 24 | acc: 50.4
3:103 -> K: 23 | acc: 50.4
3:104 -> K: 24 | acc: 50.4
3:105 -> K: 23 | acc: 49.6
3:106 -> K: 23 | acc: 49.6
3:107 -> K: 23 | acc: 48.8
3:108 -> K: 22 | acc: 46.400000000000006
3:109 -> K: 23 | acc: 48.8
3:110 -> K: 22 | acc: 51.2
3:111 -> K: 24 | acc: 49.6
3:112 -> K: 24 | acc: 52.0
3:113 -> K: 23 | acc: 50.4
3:114 -> K: 24 | acc: 50.4
3:115 -> K: 23 | acc: 48.0
3:116 -> K: 23 | acc: 46.400000000000006
3:117 -> K: 23 | acc: 46.400000000000006
3:118 -> K: 24 | acc: 48.0
3:119 -> K: 24 | acc: 45.6
3:120 -> K: 24 | acc: 48.0
3:121 -> K: 24 | acc: 48.0
3:122 -> K: 24 | acc: 46.400000000000006
3:123 -> K: 24 | acc: 49.6
3:124 -> K: 24 | acc: 50.4
3:125 -> K: 24 | acc: 47.199999999999996
3:126 -> K: 24 | acc: 48.0
3:127 -> K: 24 | acc: 48.8
3:128 -> K: 24 | acc: 48.0
3:129 -> K: 24 | acc: 48.0
3:130 -> K: 24 | acc: 50.4
3:131 -> K: 24 | acc: 46.400000000000006
3:132 -> K: 24 | acc: 48.0
3:133 -> K: 24 | acc: 49.6
3:134 -> K: 24 | acc: 46.400000000000006
3:135 -> K: 24 | acc: 46.400000000000006
3:136 -> K: 24 | acc: 45.6
3:137 -> K: 24 | acc: 46.400000000000006
3:138 -> K: 24 | acc: 47.199999999999996
3:139 -> K: 24 | acc: 48.0
3:140 -> K: 23 | acc: 46.400000000000006
3:141 -> K: 24 | acc: 44.0
3:142 -> K: 20 | acc: 42.4
3:143 -> K: 20 | acc: 43.2
3:144 -> K: 24 | acc: 44.0
3:145 -> K: 24 | acc: 42.4
3:146 -> K: 24 | acc: 41.6
3:147 -> K: 22 | acc: 44.0
3:148 -> K: 22 | acc: 44.800000000000004
3:149 -> K: 21 | acc: 41.6
3:150 -> K: 20 | acc: 41.6
3:151 -> K: 20 | acc: 40.8
3:152 -> K: 24 | acc: 44.0
3:153 -> K: 24 | acc: 40.8
3:154 -> K: 24 | acc: 40.8
3:155 -> K: 20 | acc: 40.0
3:156 -> K: 23 | acc: 40.0
3:157 -> K: 21 | acc: 40.0
3:158 -> K: 20 | acc: 39.2
3:159 -> K: 20 | acc: 40.0
3:160 -> K: 20 | acc: 40.0
3:161 -> K: 24 | acc: 38.4
3:162 -> K: 20 | acc: 36.8
3:163 -> K: 24 | acc: 39.2
3:164 -> K: 20 | acc: 36.8
3:165 -> K: 22 | acc: 38.4
3:166 -> K: 20 | acc: 38.4
3:167 -> K: 20 | acc: 39.2
3:168 -> K: 24 | acc: 38.4
3:169 -> K: 20 | acc: 37.6
3:170 -> K: 20 | acc: 39.2
3:171 -> K: 20 | acc: 41.6
3:172 -> K: 20 | acc: 37.6
3:173 -> K: 24 | acc: 37.6
3:174 -> K: 20 | acc: 38.4
3:175 -> K: 20 | acc: 36.8
3:176 -> K: 21 | acc: 36.8
3:177 -> K: 24 | acc: 34.4
3:178 -> K: 21 | acc: 34.4
3:179 -> K: 21 | acc: 35.199999999999996
3:180 -> K: 20 | acc: 34.4
3:181 -> K: 21 | acc: 34.4
3:182 -> K: 21 | acc: 34.4
3:183 -> K: 20 | acc: 32.800000000000004
3:184 -> K: 20 | acc: 33.6
3:185 -> K: 21 | acc: 32.800000000000004
3:186 -> K: 20 | acc: 34.4
3:187 -> K: 20 | acc: 37.6
3:188 -> K: 20 | acc: 37.6
3:189 -> K: 20 | acc: 36.0
3:190 -> K: 20 | acc: 35.199999999999996
3:191 -> K: 20 | acc: 36.8
3:192 -> K: 20 | acc: 37.6
3:193 -> K: 20 | acc: 36.8
3:194 -> K: 21 | acc: 36.0
3:195 -> K: 20 | acc: 38.4
3:196 -> K: 20 | acc: 40.0
3:197 -> K: 20 | acc: 37.6
3:198 -> K: 20 | acc: 36.0
3:199 -> K: 24 | acc: 36.8
3:200 -> K: 23 | acc: 34.4
3:201 -> K: 23 | acc: 35.199999999999996
3:202 -> K: 20 | acc: 35.199999999999996
3:203 -> K: 21 | acc: 36.0
3:204 -> K: 24 | acc: 36.0
3:205 -> K: 20 | acc: 35.199999999999996
3:206 -> K: 20 | acc: 35.199999999999996
3:207 -> K: 21 | acc: 35.199999999999996
3:208 -> K: 21 | acc: 35.199999999999996
3:209 -> K: 21 | acc: 36.0
3:210 -> K: 20 | acc: 35.199999999999996
3:211 -> K: 20 | acc: 35.199999999999996
3:212 -> K: 24 | acc: 35.199999999999996
3:213 -> K: 20 | acc: 34.4
3:214 -> K: 20 | acc: 33.6
3:215 -> K: 20 | acc: 34.4
3:216 -> K: 20 | acc: 34.4
3:217 -> K: 20 | acc: 34.4
3:218 -> K: 20 | acc: 34.4
3:219 -> K: 20 | acc: 34.4
3:220 -> K: 20 | acc: 33.6
3:221 -> K: 20 | acc: 34.4
3:222 -> K: 20 | acc: 34.4
3:223 -> K: 20 | acc: 35.199999999999996
3:224 -> K: 20 | acc: 35.199999999999996
3:225 -> K: 20 | acc: 35.199999999999996
3:226 -> K: 20 | acc: 35.199999999999996
3:227 -> K: 20 | acc: 35.199999999999996
3:228 -> K: 20 | acc: 35.199999999999996
3:229 -> K: 20 | acc: 35.199999999999996
3:230 -> K: 20 | acc: 35.199999999999996
3:231 -> K: 20 | acc: 35.199999999999996
3:232 -> K: 20 | acc: 35.199999999999996
3:233 -> K: 20 | acc: 35.199999999999996
4:65 -> K: 20 | acc: 48.0
4:66 -> K: 20 | acc: 48.0
4:67 -> K: 20 | acc: 49.6
4:68 -> K: 24 | acc: 52.800000000000004
4:69 -> K: 24 | acc: 52.0
4:70 -> K: 21 | acc: 50.4
4:71 -> K: 21 | acc: 51.2
4:72 -> K: 23 | acc: 53.6
4:73 -> K: 23 | acc: 52.0
4:74 -> K: 24 | acc: 50.4
4:75 -> K: 24 | acc: 46.400000000000006
4:76 -> K: 22 | acc: 48.0
4:77 -> K: 23 | acc: 48.0
4:78 -> K: 24 | acc: 51.2
4:79 -> K: 23 | acc: 52.800000000000004
4:80 -> K: 23 | acc: 50.4
4:81 -> K: 23 | acc: 51.2
4:82 -> K: 23 | acc: 52.0
4:83 -> K: 23 | acc: 53.6
4:84 -> K: 23 | acc: 52.0
4:85 -> K: 23 | acc: 52.800000000000004
4:86 -> K: 23 | acc: 54.400000000000006
4:87 -> K: 23 | acc: 54.400000000000006
4:88 -> K: 22 | acc: 54.400000000000006
4:89 -> K: 22 | acc: 53.6
4:90 -> K: 23 | acc: 52.800000000000004
4:91 -> K: 23 | acc: 52.0
4:92 -> K: 23 | acc: 50.4
4:93 -> K: 22 | acc: 50.4
4:94 -> K: 24 | acc: 50.4
4:95 -> K: 24 | acc: 49.6
4:96 -> K: 22 | acc: 49.6
4:97 -> K: 24 | acc: 51.2
4:98 -> K: 23 | acc: 47.199999999999996
4:99 -> K: 23 | acc: 48.0
4:100 -> K: 22 | acc: 45.6
4:101 -> K: 24 | acc: 51.2
4:102 -> K: 24 | acc: 52.0
4:103 -> K: 21 | acc: 49.6
4:104 -> K: 23 | acc: 49.6
4:105 -> K: 23 | acc: 51.2
4:106 -> K: 21 | acc: 48.0
4:107 -> K: 23 | acc: 49.6
4:108 -> K: 23 | acc: 49.6
4:109 -> K: 24 | acc: 51.2
4:110 -> K: 23 | acc: 49.6
4:111 -> K: 24 | acc: 50.4
4:112 -> K: 24 | acc: 49.6
4:113 -> K: 24 | acc: 49.6
4:114 -> K: 23 | acc: 49.6
4:115 -> K: 23 | acc: 48.0
4:116 -> K: 23 | acc: 47.199999999999996
4:117 -> K: 24 | acc: 44.800000000000004
4:118 -> K: 24 | acc: 48.0
4:119 -> K: 23 | acc: 47.199999999999996
4:120 -> K: 24 | acc: 48.8
4:121 -> K: 24 | acc: 50.4
4:122 -> K: 24 | acc: 51.2
4:123 -> K: 24 | acc: 52.0
4:124 -> K: 24 | acc: 49.6
4:125 -> K: 24 | acc: 49.6
4:126 -> K: 24 | acc: 52.0
4:127 -> K: 24 | acc: 48.8
4:128 -> K: 24 | acc: 50.4
4:129 -> K: 24 | acc: 48.0
4:130 -> K: 24 | acc: 50.4
4:131 -> K: 24 | acc: 48.0
4:132 -> K: 24 | acc: 47.199999999999996
4:133 -> K: 20 | acc: 44.800000000000004
4:134 -> K: 21 | acc: 44.800000000000004
4:135 -> K: 22 | acc: 43.2
4:136 -> K: 24 | acc: 44.800000000000004
