6:76 -> K: 20 | acc: 90.4
6:77 -> K: 20 | acc: 90.4
6:78 -> K: 20 | acc: 90.4
6:79 -> K: 21 | acc: 90.4
6:80 -> K: 20 | acc: 89.60000000000001
6:81 -> K: 20 | acc: 90.4
6:82 -> K: 20 | acc: 90.4
6:83 -> K: 22 | acc: 90.4
6:84 -> K: 20 | acc: 90.4
6:85 -> K: 20 | acc: 90.4
6:86 -> K: 24 | acc: 92.80000000000001
6:87 -> K: 24 | acc: 94.39999999999999
6:88 -> K: 24 | acc: 93.60000000000001
6:89 -> K: 24 | acc: 93.60000000000001
6:90 -> K: 20 | acc: 92.80000000000001
6:91 -> K: 22 | acc: 93.60000000000001
6:92 -> K: 22 | acc: 94.39999999999999
6:93 -> K: 21 | acc: 92.80000000000001
6:94 -> K: 22 | acc: 92.80000000000001
6:95 -> K: 24 | acc: 92.80000000000001
6:96 -> K: 20 | acc: 92.80000000000001
6:97 -> K: 23 | acc: 93.60000000000001
6:98 -> K: 22 | acc: 92.0
6:99 -> K: 23 | acc: 92.0
6:100 -> K: 23 | acc: 92.0
6:101 -> K: 22 | acc: 92.80000000000001
6:102 -> K: 23 | acc: 93.60000000000001
6:103 -> K: 20 | acc: 92.0
6:104 -> K: 20 | acc: 91.2
6:105 -> K: 21 | acc: 91.2
6:106 -> K: 23 | acc: 92.0
6:107 -> K: 23 | acc: 92.0
6:108 -> K: 24 | acc: 92.80000000000001
6:109 -> K: 23 | acc: 92.80000000000001
6:110 -> K: 23 | acc: 94.39999999999999
6:111 -> K: 23 | acc: 93.60000000000001
6:112 -> K: 21 | acc: 92.80000000000001
6:113 -> K: 20 | acc: 91.2
6:114 -> K: 24 | acc: 92.0
6:115 -> K: 22 | acc: 92.0
6:116 -> K: 20 | acc: 91.2
6:117 -> K: 21 | acc: 92.0
6:118 -> K: 22 | acc: 92.80000000000001
6:119 -> K: 21 | acc: 92.0
6:120 -> K: 22 | acc: 92.80000000000001
6:121 -> K: 22 | acc: 94.39999999999999
6:122 -> K: 21 | acc: 92.80000000000001
6:123 -> K: 21 | acc: 93.60000000000001
6:124 -> K: 24 | acc: 92.80000000000001
6:125 -> K: 23 | acc: 92.80000000000001
6:126 -> K: 24 | acc: 93.60000000000001
6:127 -> K: 24 | acc: 92.80000000000001
6:128 -> K: 20 | acc: 92.0
6:129 -> K: 23 | acc: 93.60000000000001
6:130 -> K: 23 | acc: 92.80000000000001
6:131 -> K: 23 | acc: 93.60000000000001
6:132 -> K: 24 | acc: 94.39999999999999
6:133 -> K: 24 | acc: 95.19999999999999
6:134 -> K: 24 | acc: 95.19999999999999
6:135 -> K: 23 | acc: 95.19999999999999
6:136 -> K: 23 | acc: 95.19999999999999
6:137 -> K: 24 | acc: 94.39999999999999
6:138 -> K: 23 | acc: 95.19999999999999
6:139 -> K: 23 | acc: 94.39999999999999
6:140 -> K: 22 | acc: 94.39999999999999
6:141 -> K: 20 | acc: 94.39999999999999
6:142 -> K: 20 | acc: 93.60000000000001
6:143 -> K: 20 | acc: 93.60000000000001
6:144 -> K: 20 | acc: 94.39999999999999
6:145 -> K: 20 | acc: 94.39999999999999
6:146 -> K: 20 | acc: 94.39999999999999
6:147 -> K: 22 | acc: 94.39999999999999
6:148 -> K: 22 | acc: 94.39999999999999
6:149 -> K: 20 | acc: 93.60000000000001
6:150 -> K: 20 | acc: 93.60000000000001
6:151 -> K: 20 | acc: 93.60000000000001
6:152 -> K: 21 | acc: 94.39999999999999
6:153 -> K: 20 | acc: 94.39999999999999
6:154 -> K: 20 | acc: 94.39999999999999
6:155 -> K: 20 | acc: 94.39999999999999
6:156 -> K: 21 | acc: 94.39999999999999
6:157 -> K: 20 | acc: 94.39999999999999
6:158 -> K: 20 | acc: 94.39999999999999
6:159 -> K: 21 | acc: 94.39999999999999
6:160 -> K: 21 | acc: 94.39999999999999
6:161 -> K: 21 | acc: 94.39999999999999
6:162 -> K: 21 | acc: 94.39999999999999
7:65 -> K: 23 | acc: 83.2
7:66 -> K: 20 | acc: 83.2
7:67 -> K: 24 | acc: 84.8
7:68 -> K: 24 | acc: 85.6
7:69 -> K: 23 | acc: 85.6
7:70 -> K: 21 | acc: 85.6
7:71 -> K: 23 | acc: 84.8
7:72 -> K: 21 | acc: 84.8
7:73 -> K: 20 | acc: 84.0
7:74 -> K: 23 | acc: 87.2
7:75 -> K: 21 | acc: 85.6
7:76 -> K: 23 | acc: 91.2
7:77 -> K: 24 | acc: 90.4
7:78 -> K: 23 | acc: 90.4
7:79 -> K: 23 | acc: 90.4
7:80 -> K: 23 | acc: 91.2
7:81 -> K: 23 | acc: 91.2
7:82 -> K: 23 | acc: 91.2
7:83 -> K: 24 | acc: 92.0
7:84 -> K: 24 | acc: 91.2
7:85 -> K: 23 | acc: 92.0
7:86 -> K: 21 | acc: 91.2
