3:168 -> K: 21 | acc: 68.0
3:169 -> K: 20 | acc: 68.0
3:170 -> K: 20 | acc: 67.2
3:171 -> K: 22 | acc: 68.8
3:172 -> K: 22 | acc: 68.8
3:173 -> K: 22 | acc: 68.8
3:174 -> K: 20 | acc: 67.2
3:175 -> K: 20 | acc: 67.2
3:176 -> K: 22 | acc: 68.0
3:177 -> K: 22 | acc: 68.8
3:178 -> K: 21 | acc: 68.8
3:179 -> K: 21 | acc: 69.6
3:180 -> K: 20 | acc: 67.2
3:181 -> K: 20 | acc: 68.8
3:182 -> K: 21 | acc: 69.6
3:183 -> K: 20 | acc: 68.8
3:184 -> K: 20 | acc: 68.0
3:185 -> K: 20 | acc: 68.0
3:186 -> K: 24 | acc: 68.0
3:187 -> K: 23 | acc: 68.0
3:188 -> K: 21 | acc: 67.2
3:189 -> K: 21 | acc: 68.0
3:190 -> K: 21 | acc: 68.0
3:191 -> K: 22 | acc: 68.0
3:192 -> K: 21 | acc: 67.2
3:193 -> K: 21 | acc: 68.0
3:194 -> K: 21 | acc: 67.2
3:195 -> K: 21 | acc: 68.0
3:196 -> K: 21 | acc: 68.0
3:197 -> K: 21 | acc: 68.0
3:198 -> K: 21 | acc: 68.0
3:199 -> K: 21 | acc: 68.8
3:200 -> K: 21 | acc: 68.8
3:201 -> K: 21 | acc: 68.0
3:202 -> K: 21 | acc: 68.8
3:203 -> K: 21 | acc: 68.8
3:204 -> K: 21 | acc: 68.8
3:205 -> K: 24 | acc: 68.8
3:206 -> K: 24 | acc: 68.8
3:207 -> K: 24 | acc: 68.8
3:208 -> K: 21 | acc: 68.8
3:209 -> K: 21 | acc: 68.8
3:210 -> K: 21 | acc: 68.8
3:211 -> K: 22 | acc: 68.8
3:212 -> K: 21 | acc: 68.0
3:213 -> K: 24 | acc: 68.0
3:214 -> K: 21 | acc: 68.8
3:215 -> K: 21 | acc: 68.8
3:216 -> K: 21 | acc: 68.8
3:217 -> K: 21 | acc: 68.8
3:218 -> K: 23 | acc: 69.6
3:219 -> K: 21 | acc: 68.8
3:220 -> K: 21 | acc: 68.8
3:221 -> K: 21 | acc: 68.8
3:222 -> K: 21 | acc: 68.8
3:223 -> K: 21 | acc: 68.8
3:224 -> K: 21 | acc: 68.8
3:225 -> K: 23 | acc: 69.6
3:226 -> K: 23 | acc: 69.6
3:227 -> K: 21 | acc: 68.8
3:228 -> K: 21 | acc: 68.8
3:229 -> K: 21 | acc: 68.8
3:230 -> K: 23 | acc: 69.6
3:231 -> K: 23 | acc: 69.6
3:232 -> K: 21 | acc: 68.8
3:233 -> K: 22 | acc: 68.8
3:234 -> K: 22 | acc: 68.8
3:235 -> K: 22 | acc: 68.8
3:236 -> K: 22 | acc: 68.8
3:237 -> K: 22 | acc: 68.8
3:238 -> K: 23 | acc: 69.6
3:239 -> K: 23 | acc: 69.6
3:240 -> K: 23 | acc: 69.6
3:241 -> K: 23 | acc: 69.6
3:242 -> K: 23 | acc: 69.6
3:243 -> K: 23 | acc: 69.6
3:244 -> K: 23 | acc: 69.6
3:245 -> K: 23 | acc: 69.6
